model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,margin_shift,class_gap
qwen3.5-9b,C,7,31,R_harm,R_role,-4.0,4.0,0.10670376569032669,0.056807245779782536,0.15310335345566273,0.11040002107620239,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,60.2837028503418
qwen3.5-9b,C,7,8,R_control,R_harm,0.25,0.25,-0.003711782395839691,-0.004516215471085161,-0.0028884603991173215,-0.0004000067710876465,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,1.976116418838501
qwen3.5-9b,C,7,8,R_control,R_control,0.25,0.25,0.20393015444278717,0.20159139893949032,0.2062083464115858,-0.005600005388259888,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,1.0689592361450195
qwen3.5-9b,C,7,8,R_control,R_role,0.25,0.25,-0.004381186794489622,-0.004744127276353538,-0.004035307490266859,0.0015999972820281982,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,4.93510103225708
qwen3.5-9b,C,7,19,R_control,R_harm,0.25,0.25,0.0027010953053832054,0.0016243818186921998,0.0038337027363013476,0.0,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,23.36080551147461
qwen3.5-9b,C,7,19,R_control,R_control,0.25,0.25,0.006917438004165888,0.005343541805632413,0.008592588524334132,0.000800013542175293,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,15.32968807220459
qwen3.5-9b,C,7,19,R_control,R_role,0.25,0.25,0.003924967255443335,0.0018192267249105497,0.006113677483517676,0.004400014877319336,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,12.593536376953125
qwen3.5-9b,C,7,31,R_control,R_harm,0.25,0.25,0.003792381612583995,0.002886563289212063,0.004722273908555507,0.0,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,118.91390991210938
qwen3.5-9b,C,7,31,R_control,R_control,0.25,0.25,0.004109793808311224,0.00304358231369406,0.005295762873720378,-0.0007999539375305176,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,76.66504669189453
qwen3.5-9b,C,7,31,R_control,R_role,0.25,0.25,-0.006560574285686016,-0.009200158948078751,-0.004000226210337132,-0.0031999945640563965,0.0009490805095992982,0.0016436908626928926,0.002581307679065503,0.6367667349472842,-0.018124999478459358,60.2837028503418
